adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}]",,28046,tt0024055,en,The Ghoul,"British Egyptologist Professor Morlant finds a magic jewel in the tomb of an Oriental idol. This talisman is supposed to grant immortality to those who are buried with it. So Morlant arranges to have it put into his grave upon his demise. And woe to those who might double-cross him, for Morlant's spirit will arise to wreak vengeance on his betrayers...",1.380825,/eBbiC1MTRbglThsLVDVnX1uuPJh.jpg,"[{'name': 'Gaumont British Picture Corporation', 'id': 4978}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1933-08-01,0.0,77.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"From the Depths of the Earth, He Will Rise.",The Ghoul,False,5.0,13.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",,27112,tt0040246,en,Corridor of Mirrors,A man falls in love with a beautiful young woman and begins to suspect that he may have also loved her in a previous life.,0.482651,/jnuugSTRlyfEl3jk03P9tjlhXgv.jpg,"[{'name': 'Apollo Films', 'id': 49755}]",[],1948-07-24,0.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Corridor of Mirrors,False,5.1,3.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",,250660,tt3263520,en,Ivory Tower,"As tuition spirals upward and student debt passes a trillion dollars, students and parents ask, ""Is college worth it?"" From the halls of Harvard to public and private colleges in financial crisis to education startups in Silicon Valley, an urgent portrait emerges of a great American institution at the breaking point.",0.935948,/qiYiBt8pEaMxXvQwNnmtTtHnWac.jpg,"[{'name': 'Participant Media', 'id': 6735}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-06-13,0.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Ivory Tower,False,7.1,9.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",,75404,tt0416960,en,مارمولک,"Reza is a petty thief who escapes jail by posing as a mullah. When he has to stay in disguise longer than he expected, he accidentally becomes the revered leader of a small-town mosque, bringing people flooding in with his on the hoof sermons featuring sexual innuendo and references to 'brother' Tarantino's Pulp Fiction.",0.509785,/6spQpEE6I1fE69oLsZgAbD3w1ZH.jpg,[],"[{'iso_3166_1': 'IR', 'name': 'Iran'}]",2004-03-31,0.0,115.0,"[{'iso_639_1': 'fa', 'name': 'فارسی'}]",Released,,The Lizard,False,5.5,10.0
False,,0,"[{'id': 12, 'name': 'Adventure'}]",,38662,tt0023038,en,The Hurricane Express,"The Wrecker wrecks trains on the L & R Railroad. One of his victims is Larry Baker's father. Baker wants to find the evildoer, among a host of suspects, but it will be difficult since the Wrecker can disguise himself to look like almost anyone",0.546163,/hlEV7CF74V72HVp2ZLW3OUYL3dx.jpg,"[{'name': 'Mascot Pictures', 'id': 4743}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1932-08-01,0.0,79.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A CRASHING ADVENTURE SERIAL!,The Hurricane Express,False,4.9,7.0
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",,287821,tt0162903,en,Catfish in Black Bean Sauce,"An African American couple (Winfield and Alice) adopt two orphans from a Vietnamese refugee camp. After twenty-two years, the children are reunited with their birth mother, bringing deeply submerged resentments and misconceptions to the surface and forcing the characters to reexamine their identity and relationships in both comical and poignant situations.",0.003552,/km8JY33LNxByT0CWxOimXigSv27.jpg,"[{'name': 'Black Hawk Entertainment', 'id': 81025}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-06-09,0.0,119.0,[],Released,,Catfish in Black Bean Sauce,False,0.0,0.0
False,,0,"[{'id': 18, 'name': 'Drama'}]",,105348,tt0063371,cs,O slavnosti a hostech,"In Jan Němec’s surreal fable, a picnic is rudely transformed into a lesson in political hierarchy when a handful of mysterious authority figures show up. This allegory about oppression and conformity was banned in its home country but became an international success after it premiered at the New York Film Festival.",0.459359,/xTvYJ35wFs5VpIvAQv1E1rPNURU.jpg,"[{'name': 'Filmové Studio Barrandov', 'id': 1931}]","[{'iso_3166_1': 'CZ', 'name': 'Czech Republic'}]",1966-12-30,0.0,70.0,"[{'iso_639_1': 'cs', 'name': 'Český'}]",Released,,A Report on the Party and the Guests,False,7.0,5.0
False,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10769, 'name': 'Foreign'}]",http://www.koreanmovie.com/No_Mercy_km708/,50475,tt1662557,ko,용서는 없다,"Forensic pathologist Kang (Seol Kyeong-gu) is assigned to examine the dismembered corpse of a female murder victim. Detective Min (Han Hye-jin) points to a fanatic environmentalist, Lee Sung-ho (Ryoo Seung-beom), as the primary suspect. But when Kang’s daughter is kidnapped, a manipulative game begins between Kang and Lee, who holds secrets about the homicide case.",2.636798,/d4Tc1vGHjk5ySKuI1UUxoog5Uf9.jpg,"[{'name': 'Cinema Service', 'id': 868}, {'name': 'CJ Entertainment', 'id': 7036}, {'name': 'The Dream & Pictures', 'id': 73258}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2010-01-07,0.0,125.0,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,No Mercy,False,7.6,33.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",http://www.gerhardrichterpainting.com,96574,tt1982113,en,Gerhard Richter Painting,"One of the world's greatest living painters, the German artist Gerhard Richter has spent over half a century experimenting with a tremendous range of techniques and ideas, addressing historical crises and mass media representation alongside explorations of chance procedures. The first glimpse inside his studio in decades, Gerhard Richter Painting is exactly that: a thrilling document of the 79-year-old's creative process, juxtaposed with rare archival footage and intimate conversations with his critics and collaborators.",0.728104,/pVKoCkcn1xkWkU7nKUXrNDWeHuA.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2012-03-14,0.0,97.0,[],Released,,Gerhard Richter Painting,False,7.1,8.0
False,"{'id': 11118, 'name': 'The Olsen Gang Collection', 'poster_path': '/ylEImURFfwPg5iCAHiZNxBMwpxs.jpg', 'backdrop_path': '/vdHRY8v847UmBlsQAOuc8k5maKd.jpg'}",0,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",,11389,tt0063386,da,Olsen-banden,"The first of 14 Olsen Gang films presents us with Egon Olsen, head of the gang, and his friends Benny and Kjeld, who want to become the best known gang in Denmark and eventually Europe by stealing a famous Bavarian work of art currently displayed in a Copenhagen museum. Although Egon's plan works out fine, there is only trouble ahead for the little gang.",2.393462,/qxAytkGQx7pDa6QjaxEAfS4KlEZ.jpg,"[{'name': 'Nordisk Films Kompagni A/S', 'id': 10625}]","[{'iso_3166_1': 'DK', 'name': 'Denmark'}]",1968-10-11,0.0,80.0,"[{'iso_639_1': 'da', 'name': 'Dansk'}]",Released,,The Olsen Gang,False,6.5,13.0
