id,title,genres
4672,La Cienaga,"['Comedy', 'Drama']"
4716,Burnt Money,['Crime']
7941,The City of No Limits,"['Thriller', 'Drama']"
9353,Nicotina,"['Drama', 'Action', 'Comedy', 'Thriller']"
9404,Lost Embrace,"['Drama', 'Foreign']"
9919,Whisky,"['Comedy', 'Drama', 'Foreign']"
10290,The Holy Girl,"['Drama', 'Foreign']"
10602,The Aura,"['Crime', 'Drama', 'Thriller']"
10702,Bombón: The Dog,['Drama']
11467,Rolling Family,"['Drama', 'Comedy']"
12393,The Method,"['Drama', 'Thriller']"
13048,Every Stewardess Goes to Heaven,"['Drama', 'Romance', 'Foreign']"
13993,Tetro,"['Drama', 'Mystery']"
14059,The Secret in Their Eyes,"['Crime', 'Drama', 'Mystery', 'Romance']"
14605,Liverpool,['Drama']
14762,The Headless Woman,"['Drama', 'Mystery', 'Thriller']"
16191,The Last Summer of La Boyita,['Drama']
17648,The Appeared,"['Horror', 'Thriller', 'Mystery']"
18861,The Fish Child,"['Drama', 'Thriller', 'Romance', 'Foreign']"
24366,Cleopatra,"['Drama', 'Comedy', 'Foreign']"
26453,Roma,"['Drama', 'Foreign']"
31910,Conversations with Mother,"['Comedy', 'Drama', 'Foreign']"
35403,The Education of Fairies,['Drama']
38625,The Good Life,['Drama']
